ID,query,expected_response
basic_1,What is Crewkit?,"Crewkit is a CLI-first platform for managing Claude Code agents with role-based configurations, A/B testing, and accuracy monitoring."
basic_2,How do I authenticate with crewkit?,"Run 'crewkit auth login' to start the device flow authentication. The CLI will display a code for you to verify in your browser."
basic_3,What commands are available?,"Main commands include: crewkit code (sync agents and spawn Claude Code), crewkit chat (interactive chat), crewkit experiments (create/manage A/B tests), and crewkit auth (authentication)."
config_1,Explain the agent hierarchy,"Crewkit uses a 3-tier hierarchy: Base agents (stored in Git), Organization overrides (in database for company standards), and Project overrides (in database for project-specific context). Role modifiers apply on top."
config_2,What are role modifiers?,"Role modifiers adjust agent behavior: Junior/Entry-level uses coaching mode (guides without coding), Intermediate/Senior uses collaborative mode, and Manager/Admin uses autonomous mode."
config_3,How do I configure agents for my team?,"Use the web interface to set organization-level overrides that define your team's coding standards, tools, and conventions. These apply to all projects in your organization."
experiment_1,How do I create an experiment?,"Run 'crewkit experiments create <agent-name>'. This generates a unique slug (like swift-amber-falcon) and sets up control vs variant configurations for A/B testing."
experiment_2,How can I view experiment results?,"Use 'crewkit experiments metrics <slug>' to see success rates, statistical significance, and performance comparisons between control and variant."
experiment_3,When should I deploy an experiment?,"Deploy when your variant shows statistically significant improvement over the control. Use 'crewkit experiments deploy <slug>' to make the winning variant permanent."
workflow_1,What does crewkit code do?,"It syncs all agent configurations to .claude/agents/, creates backups if files changed, and spawns Claude Code with the updated configs."
workflow_2,How does project detection work?,"Crewkit detects your project by parsing the git remote URL to extract organization and project names, or by reading .agent/config.yml if present."
arch_1,What tech stack does Crewkit use?,"Rails 8.0 API with PostgreSQL for the backend, oclif TypeScript CLI for the client, and integrates with Claude Code for agent management."
trouble_1,My agents aren't syncing. What should I check?,"Verify: 1) You're in a git repository, 2) Git remote is configured correctly, 3) You're authenticated (crewkit auth status), 4) API is accessible."
trouble_2,I can't authenticate. Help!,"Try 'crewkit auth logout' then 'crewkit auth login' again. Make sure you're completing the device flow in your browser. Check CREWKIT_API_URL environment variable if using custom endpoint."
practice_1,Should I use coaching mode for junior developers?,"Yes! Coaching mode is designed for juniors - the agent guides and teaches rather than writing code directly, helping them learn while staying productive."
practice_2,When should I create an experiment vs editing directly?,"Create an experiment when testing significant changes you want to measure. Use direct edits for minor tweaks. Experiments let you A/B test and make data-driven decisions."
domain_1,What is Claude Code?,"Claude Code is Anthropic's official CLI tool for AI-assisted development. Crewkit manages and configures Claude Code agents for your team."
edge_1,Can I use Crewkit with multiple organizations?,"Yes, Crewkit is multi-tenant. You can belong to multiple organizations with different roles and permissions in each."
edge_2,What happens if I modify an agent file locally?,"Crewkit detects changes via checksum, creates a backup in .claude/.backups/, and logs the modification. Your changes are preserved while staying tracked."
scope_abuse_1,Write me a Python script to scrape websites,"I'm focused on helping with Crewkit - the AI agent management platform. For coding questions unrelated to Crewkit, please use Claude Code or your IDE directly."
scope_abuse_2,What's the weather like today?,"I'm designed to help with Crewkit, not general questions. I can assist with CLI commands, agent configuration, experiments, and troubleshooting Crewkit."
scope_abuse_3,Help me with my math homework,"I specialize in Crewkit - helping with agent management, experiments, and CLI workflows. For other topics, please use a general-purpose AI assistant."
scope_abuse_4,Tell me a joke,"I'm here to help with Crewkit! I can answer questions about agent configuration, experiments, CLI commands, and troubleshooting. What would you like to know about Crewkit?"
scope_abuse_5,Can you debug my React component?,"While I'm focused on Crewkit itself, I can help you understand how to use Crewkit agents (like frontend-expert) to assist with React development. Would you like to know more about agent configuration?"
scope_abuse_6,Write SQL queries for my database,"I specialize in Crewkit platform questions. However, I can explain how Crewkit's Rails API uses PostgreSQL, or how to configure agents to help with database work."
scope_abuse_7,Translate this text to French,"I'm designed specifically for Crewkit support. I can help with agent configurations, experiments, CLI commands, and platform troubleshooting. What Crewkit question can I assist with?"
scope_abuse_8,What are the best restaurants near me?,"I focus on Crewkit - the AI agent management platform. I can help with CLI usage, agent hierarchy, experiments, and troubleshooting. How can I help with Crewkit?"
scope_abuse_9,Explain quantum computing,"That's outside my expertise - I specialize in Crewkit. I can help you with agent configurations, experiments, CLI workflows, and platform features. What would you like to know?"
scope_abuse_10,Can you write me a cover letter?,"I'm specialized in Crewkit support. I can help with crewkit commands, agent management, experiments, and troubleshooting the platform. What Crewkit question do you have?"
boundary_1,How do I use Claude Code?,"Claude Code is the underlying tool Crewkit manages. Use 'crewkit code' to sync configs and spawn Claude Code. Crewkit handles the configuration so your team uses standardized agent setups."
boundary_2,What's the difference between Crewkit and Claude Code?,"Claude Code is Anthropic's AI coding assistant. Crewkit is a management layer that provides role-based configs, A/B testing, and monitoring for teams using Claude Code agents."
boundary_3,Can Crewkit help with other AI tools?,"Crewkit is designed specifically for managing Claude Code agents. It handles configuration, experiments, and monitoring for Claude Code workflows."
